"last_name, first_name","player_id","year","player_age","p_formatted_ip","pa","ab","hit","strikeout","walk","k_percent","bb_percent","batting_avg","babip","p_pickoff_attempt_1b","p_pickoff_1b","p_gnd_into_dp","p_hit_by_pitch","xba","xbadiff"
"Castillo, Luis","622491","2022","29","150.1","615","557","118","167","45",27.2,7.3,".212",".276","31","0","11","8",".223","-0.011"
"Senzatela, Antonio","622608","2022","27","92.1","413","381","133","54","23",13.1,5.6,".349",".386","34","1","21","3",".310",".039"
"Severino, Luis","622663","2022","28","102.0","405","368","72","112","30",27.7,7.4,".196",".239","27","0","7","4",".203","-0.007"
"Flexen, Chris","623167","2022","27","137.2","590","529","132","95","51",16.1,8.6,".250",".273","90","0","8","2",".256","-0.006"
"Suárez, Ranger","624133","2022","26","155.1","662","598","149","129","58",19.5,8.8,".249",".294","35","0","17","2",".241",".008"
"Thompson, Keegan","624522","2022","27","115.0","485","431","103","108","43",22.3,8.9,".239",".282","21","0","18","9",".241","-0.002"
"Urías, Julio","628711","2022","25","175.0","689","639","127","166","41",24.1,6,".199",".229","64","2","16","5",".205","-0.006"
"Manaea, Sean","640455","2022","30","158.0","671","611","155","156","50",23.2,7.5,".254",".292","17","0","11","3",".240",".014"
"López, Pablo","641154","2022","26","180.0","736","671","157","174","53",23.6,7.2,".234",".283","36","0","19","8",".239","-0.005"
"Alexander, Tyler","641302","2022","27","101.0","427","393","108","61","25",14.3,5.9,".275",".281","33","1","10","1",".281","-0.006"
"Cortes Jr., Nestor","641482","2022","27","158.1","615","572","108","163","38",26.5,6.2,".189",".232","52","1","6","2",".204","-0.015"
"Dunning, Dane","641540","2022","27","153.1","671","589","158","137","62",20.4,9.2,".268",".314","39","0","16","11",".250",".018"
"Hudson, Dakota","641712","2022","27","139.2","596","517","141","78","61",13.1,10.2,".273",".303","71","0","30","9",".276","-0.003"
"Keller, Brad","641745","2022","26","139.2","617","553","153","102","57",16.5,9.2,".277",".311","52","0","16","2",".256",".021"
"Kuhl, Chad","641771","2022","29","137.0","617","546","155","110","58",17.8,9.4,".284",".313","86","0","9","5",".272",".012"
"Lauer, Eric","641778","2022","27","158.2","661","592","135","157","59",23.8,8.9,".228",".262","70","3","11","2",".240","-0.012"
"Mahle, Tyler","641816","2022","27","120.2","503","452","104","126","43",25,8.5,".230",".279","21","1","5","2",".214",".016"
"Alcantara, Sandy","645261","2022","26","228.2","886","820","174","207","50",23.4,5.6,".212",".262","49","2","26","9",".215","-0.003"
"Civale, Aaron","650644","2022","27","97.0","407","373","93","98","22",24.1,5.4,".249",".297","21","1","6","7",".246",".003"
"Cease, Dylan","656302","2022","26","184.0","747","663","126","227","78",30.4,10.4,".190",".261","80","0","9","3",".184",".006"
"Keller, Mitch","656605","2022","26","159.0","687","609","162","138","60",20.1,8.7,".266",".321","35","0","24","12",".253",".013"
"Kopech, Michael","656629","2022","26","119.1","494","429","85","105","57",21.3,11.5,".198",".223","45","0","9","3",".215","-0.017"
